DATE,EVEREADY,EICHERMOT,SUNTV,SUNPHARMA,ASHIANA,EMAMILTD,CLNINDIA,CADILAHC,THYROCARE,BLUEDART,HINDZINC
01-JAN-2016,300.15,17370.85,430.95,815.55,166.65,989.15,745.75,332.7,612.5910714285714,6771.55,149.15
01-FEB-2016,247.45,17073.85,375.65,872.3,149.7,1033.8,722.35,318.7,612.5910714285714,6339.45,160.05
01-MAR-2016,223.15,19184.35,338.05,868.4,125.05,999.95,603.6,326.2,612.5910714285714,5597.5,163.0
01-APR-2016,233.75,19254.05,377.65,815.1,136.7,924.9,600.25,320.85,612.5910714285714,6133.85,184.8
01-JUN-2016,238.4,18713.25,364.1,754.55,161.05,1033.7,661.55,332.95,628.4,5671.55,168.85
01-JUL-2016,270.3,19155.1,370.15,763.35,167.5,1149.6,710.6,328.25,565.05,5944.4,177.25
01-AUG-2016,248.1,22325.2,473.2,835.65,165.9,1148.6,710.7,352.7,558.75,5769.0,211.7
01-SEP-2016,284.55,22774.25,466.8,770.05,159.75,1172.45,727.9,375.25,617.05,5589.95,225.8
01-NOV-2016,259.7,25321.0,543.0,733.75,148.1,1244.15,804.7,424.5,646.55,5097.8,272.55
01-DEC-2016,216.15,22202.25,461.8,721.5,140.15,1072.6,731.25,399.95,665.1,4697.95,275.0
01-FEB-2017,242.45,24029.65,550.4,625.55,173.25,1105.05,719.05,352.05,725.75,4350.05,306.7
01-MAR-2017,248.25,23709.7,724.0,694.65,183.0,1036.2,669.2,438.65,691.35,4289.3,318.2
01-JUN-2017,318.55,28793.4,803.7,507.45,209.65,1114.65,622.05,470.95,715.15,4411.75,238.7
01-AUG-2017,303.2,31504.8,782.45,533.8,180.25,1072.0,674.8,540.65,710.3,4247.45,282.25
01-SEP-2017,305.75,31772.4,768.3,486.2,177.3,1098.05,571.75,507.55,682.55,4255.5,303.15
01-NOV-2017,339.25,30929.8,853.3,548.7,172.3,1260.25,623.35,496.55,685.8,4149.05,324.6
01-DEC-2017,434.1,29280.95,854.45,525.95,174.55,1304.15,576.15,425.8,649.6,4094.75,296.6
01-JAN-2018,440.25,29893.15,998.0,574.05,186.6,1335.8,605.45,432.55,698.3,4600.3,308.95
01-FEB-2018,414.3,28047.35,1012.4,554.3,186.1,1142.1,626.4,417.65,695.65,4673.9,307.95
01-MAR-2018,392.9,27742.35,916.65,535.4,172.2,1081.2,581.45,404.05,624.45,4303.5,315.6
01-JUN-2018,245.3,29868.75,886.55,484.35,151.45,1037.65,456.95,353.0,614.75,3636.55,291.25
01-AUG-2018,235.9,27298.7,792.6,574.65,135.0,567.5,403.8,377.5,622.75,3666.45,277.7
01-OCT-2018,212.05,24749.5,653.65,634.7,127.75,498.45,420.9,396.65,648.2,2940.25,289.85
01-NOV-2018,188.95,21992.1,672.3,571.85,125.65,396.35,412.25,359.4,554.85,2726.7,263.6
01-JAN-2019,185.9,23195.1,607.85,433.55,118.45,418.05,417.1,350.05,539.1,3413.75,277.85
01-FEB-2019,215.25,19663.4,532.15,423.25,111.8,414.5,385.65,323.6,548.05,3182.2,254.7
01-MAR-2019,196.8,19948.65,615.9,447.35,111.75,395.6,358.15,323.2,521.8,3143.65,270.85
01-APR-2019,193.25,20048.4,629.5,478.85,119.05,404.2,366.05,344.25,527.6,3562.7,283.9
01-JUL-2019,75.95,19625.3,511.35,405.35,121.9,296.65,299.95,240.35,471.85,2666.8,244.55
01-AUG-2019,71.9,16562.8,457.75,425.1,107.95,317.5,274.2,226.3,449.3,2344.7,211.5
01-OCT-2019,43.1,17826.85,477.9,386.55,104.7,315.5,292.5,234.15,506.15,2481.65,213.95
01-NOV-2019,57.45,21976.15,542.65,437.55,97.35,327.55,286.95,255.5,588.35,2388.05,207.0
